sku,name,barcode_type,barcode_name,barcode_value,brand,description,primary_unit,dimension_unit,width,length,height,weight_unit,weight,inventory_method,unit_cost,retail_price,reorder_threshold,track_by_lot,track_by_exp_date,track_by_handling_unit,skip_inventory_check,shipment_type,inventory_planning,minimum_stock_level,minimum_stock_level_unit,tariff_code,country_code,customs_value,customs_description,is_haz_mat,proper_shipping_name,hazard_class,un_id,packing_group,transport_mode,limited_quantity,contains_lithium,lithium_ion_content_grams,battery_status,battery_count
,,"UPC, Other","If C=UPC, put UPC, if C=Other, put Barcode",UPCs must be exactly 12 digits,,,"Each, Case, Pallet",In or Cm,,,,Ounces or Pounds,,"FIFO,FEFO, etc","in number format, not currency, must be >0","in number format, not currency, must be >1",,True/False,True/False,True/False - this should be true if both S & T are False,True/False,Domestic/International,True/False (add-on),"in number format, must be >1","Unit(s), week(s)","If W=International, this must be filled in",Country where item was manufactured (US),"If W=International, this must be filled in","If W=International, this must be filled in",True/False,"If AE=true, the remaining fields must be filled in, otherwise, leave blank",1-9,,"I, II, III",Ground,True/False,True/False,"If True, this must be filled out",Installed/uninstalled,
200-00001,"BATTERY, AAA",Other,barcode,20000001,"Quip, NYC Inc","BATTERY, AAA",Each,inches,0.1,0.1,1.19,lbs,0.20,FEFO,0.12,1,,TRUE,TRUE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,8506.10.0010,CN,$0.14,Alkaline battery,FALSE,,,,,,,,,,
300-00065,"O-RING, 7.3mm",Other,barcode,30000065,"Quip, NYC Inc","O-RING, 7.3mm",Each,inches,0.1,0.1,0.1,lbs,0.04,FEFO,24.16,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
300-00066,"O-RING, 8.0mm",Other,barcode,30000066,"Quip, NYC Inc","O-RING, 8.0mm",Each,inches,0.1,0.1,0.1,lbs,0.04,FEFO,22.32,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00030,WELCOME PAMPHLET,Other,barcode,70000030,"Quip, NYC Inc",WELCOME PAMPHLET,Each,inches,5,5,0.1,lbs,0.20,FIFO,25.77,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CN,$0.15,Paper pamphlet,FALSE,,,,,,,,,,
700-00031,"FOIL BAG, SMALL..",Other,barcode,70000031,"Quip, NYC Inc","FOIL BAG, SMALL..",Each,inches,6,9,2,lbs,0.20,FIFO,6.41,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.21.0095,CN,$0.06,Polyfoil packaging,FALSE,,,,,,,,,,
700-00032,"FOIL BAG,LARGE..",Other,barcode,70000032,"Quip, NYC Inc","FOIL BAG,LARGE..",Each,inches,6,12,2,lbs,0.20,FIFO,2.4,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,3923.21.0095,CN,$0.08,Polyfoil packaging,FALSE,,,,,,,,,,
700-00127,"WELCOME PAMPHLET, KIDS",Other,barcode,70000127,"Quip, NYC Inc","WELCOME PAMPHLET, KIDS",Each,inches,5,5,0.1,lbs,0.20,FIFO,5.03,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.17,Paper pamphlet,FALSE,,,,,,,,,,
700-00130,"REFILL PAMPHLET, ADULT",Other,barcode,70000130,"Quip, NYC Inc","REFILL PAMPHLET, ADULT",Each,inches,5,5,0.1,lbs,0.20,FIFO,4.39,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.07,Paper pamphlet,FALSE,,,,,,,,,,
700-00139,"INSERT, REPLACEMENT",Other,barcode,70000139,"Quip, NYC Inc","INSERT, REPLACEMENT",Each,inches,5,5,0.1,lbs,0.20,FIFO,8.64,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.07,Paper pamphlet,FALSE,,,,,,,,,,
700-00140,"REFILL, KIDS INSTRUCTIONS",Other,barcode,70000140,"Quip, NYC Inc","REFILL, KIDS INSTRUCTIONS",Each,inches,5,5,0.1,lbs,0.20,FIFO,2.03,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.07,Paper pamphlet,FALSE,,,,,,,,,,
700-00181,"WELCOME PAMPHLET, STRAND",Other,barcode,70000181,"Quip, NYC Inc","WELCOME PAMPHLET, STRAND",Each,inches,5,5,0.1,lbs,0.20,FIFO,25.4,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.07,Paper pamphlet,FALSE,,,,,,,,,,
700-00242,"Master Box, Medium",Other,barcode,70000242,"Quip, NYC Inc","Master Box, Medium",Each,inches,9.4,10.2,12.75,lbs,0.75,FIFO,11.96,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4819.10.0040,CA,$1.92,Cardboard shipping box,FALSE,,,,,,,,,,
700-00243,"Master Box, Large",Other,barcode,70000243,"Quip, NYC Inc","Master Box, Large",Each,inches,12.75,9.75,17.75,lbs,0.75,FIFO,5.71,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4819.10.0040,CA,$2.24,Cardboard shipping box,FALSE,,,,,,,,,,
700-00249,"WELCOME PAMPHLET, SAKS",Other,barcode,70000249,"Quip, NYC Inc","WELCOME PAMPHLET, SAKS",Each,inches,5,5,0.1,lbs,0.20,FIFO,0.41,1,,FALSE,FALSE,FALSE,FALSE,International,TRUE,4,Week(s) of supply,4911.10.0080,CA,$0.41,Paper pamphlet,FALSE,,,,,,,,,,
700-00299,"Refill Pamphlet, Floss",Other,barcode,70000299,"Quip, NYC Inc","Refill Pamphlet, Floss",Each,inches,5,5,0.1,lbs,0.02,FIFO,3.56,1,,FALSE,FALSE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,CA,,,FALSE,,,,,,,,,,
700-00369,"PACKAGING, DENTAL SET, TB BOX, CP",Other,barcode,70000369,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, CP",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.93,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00370,"PACKAGING, DENTAL SET, TB BOX, GD",Other,barcode,70000370,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, GD",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.2,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00371,"PACKAGING, DENTAL SET, TB BOX, KK",Other,barcode,70000371,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, KK",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.03,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00372,"PACKAGING, DENTAL SET, TB BOX, SV",Other,barcode,70000372,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, SV",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.11,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00373,"PACKAGING, DENTAL SET, TB BOX, KIDS, BL",Other,barcode,70000373,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, KIDS, BL",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,1.62,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00374,"PACKAGING, DENTAL SET, TB BOX, KIDS, GN",Other,barcode,70000374,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, KIDS, GN",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.06,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00375,"PACKAGING, DENTAL SET, TB BOX, KIDS, PK",Other,barcode,70000375,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, KIDS, PK",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,23.68,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00376,"PACKAGING, DENTAL SET, TB BOX, KIDS, PU",Other,barcode,70000376,"Quip, NYC Inc","PACKAGING, DENTAL SET, TB BOX, KIDS, PU",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.61,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
700-00378,"PACKAGING, DENTAL SET, FLOSS BOX, CP",Other,barcode,70000378,"Quip, NYC Inc","PACKAGING, DENTAL SET, FLOSS BOX, CP",Each,inches,1.25,1.25,8.75,lbs,0.1,FEFO,0.55,1,,TRUE,TRUE,FALSE,FALSE,Domestic,TRUE,4,Week(s) of supply,,US,,,FALSE,,,,,,,,,,
